map_path,ordering,game_index,winner_side,winner_ai,raw_reward0,raw_rewards_full,steps
,ordering_2_light_left,25,right,lightRushAI,1.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",305
,ordering_2_light_left,26,right,lightRushAI,1.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",305
,ordering_2_light_left,27,right,lightRushAI,1.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",305
,ordering_2_light_left,28,right,lightRushAI,1.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",305
,ordering_2_light_left,29,right,lightRushAI,1.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",305
,ordering_2_light_left,30,right,lightRushAI,1.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",305
,ordering_2_light_left,31,right,lightRushAI,1.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",305
,ordering_2_light_left,32,right,lightRushAI,1.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",305
,ordering_2_light_left,33,right,lightRushAI,1.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",305
,ordering_2_light_left,34,right,lightRushAI,1.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",305
,ordering_2_light_left,35,right,lightRushAI,1.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",305
,ordering_2_light_left,36,right,lightRushAI,1.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",305
,ordering_2_light_left,37,right,lightRushAI,1.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",305
,ordering_2_light_left,38,right,lightRushAI,1.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",305
,ordering_2_light_left,39,right,lightRushAI,1.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",305
,ordering_2_light_left,40,right,lightRushAI,1.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",305
,ordering_2_light_left,41,right,lightRushAI,1.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",305
,ordering_2_light_left,42,right,lightRushAI,1.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",305
,ordering_2_light_left,43,right,lightRushAI,1.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",305
,ordering_2_light_left,44,right,lightRushAI,1.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",305
,ordering_2_light_left,45,right,lightRushAI,1.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",305
,ordering_2_light_left,46,right,lightRushAI,1.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",305
,ordering_2_light_left,47,right,lightRushAI,1.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",305
,ordering_2_light_left,48,right,lightRushAI,1.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",305
,ordering_2_light_left,49,right,lightRushAI,1.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",305
